Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1776196413,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776196414,50,,Aggregated,0.000000,0.000000,340,430,520,590,780,870,880,890,890,890,890,68,0,330.0,366.74462205872476,14.664599992102012,892.6176999812014,70.0
1776196415,150,,Aggregated,0.000000,0.000000,370,470,570,630,870,990,1200,1400,1600,1600,1600,148,0,360.0,411.3166756747838,14.664599992102012,1568.473699997412,70.0
1776196416,200,,Aggregated,44.000000,0.000000,450,640,860,990,1400,1600,1900,2000,2400,2400,2400,232,0,450.0,603.9351482752958,14.664599992102012,2415.6928999873344,70.0
1776196417,250,,Aggregated,67.500000,0.000000,510,690,940,1100,1500,1700,2100,2400,3200,3200,3200,295,0,510.0,661.3656925421279,14.664599992102012,3219.832700007828,70.0
1776196418,300,,Aggregated,66.333333,0.000000,570,900,1200,1400,1900,2500,3300,3800,4700,4700,4700,379,0,570.0,861.5389630607161,14.664599992102012,4676.213600003393,70.0
1776196419,300,,Aggregated,71.000000,0.000000,640,1000,1400,1600,2300,2900,3600,4100,4900,4900,4900,446,0,640.0,972.905496412493,14.664599992102012,4898.00259997719,70.0
1776196420,300,,Aggregated,68.000000,0.000000,710,1200,1500,1800,2800,3700,4700,5100,6100,6100,6100,552,0,710.0,1155.4739936591827,10.66010000067763,6108.74490000424,70.0
1776196421,300,,Aggregated,68.833333,0.000000,830,1300,1700,2200,3300,4300,5300,5600,6900,6900,6900,651,0,830.0,1311.4987105986738,10.66010000067763,6906.200400000671,70.0
1776196422,300,,Aggregated,73.000000,0.000000,870,1400,1900,2400,3600,4700,5500,5800,7200,7200,7200,703,0,870.0,1413.8725874816769,10.66010000067763,7197.1956999914255,70.0
1776196423,300,,Aggregated,76.875000,0.000000,980,1500,2200,2700,4200,5400,6300,6800,8200,8200,8200,796,0,980.0,1587.024210929261,10.66010000067763,8183.4667999937665,70.0
1776196424,300,,Aggregated,76.888889,0.000000,1000,1600,2400,2900,4500,5600,6900,7700,10000,10000,10000,871,0,1000.0,1711.809661882744,10.66010000067763,10006.365399982315,70.0
1776196425,300,,Aggregated,73.900000,0.000000,1100,1700,2500,3000,4700,5800,7500,8200,10000,10000,10000,971,0,1100.0,1782.0384134909539,10.66010000067763,10006.365399982315,70.0
1776196426,300,,Aggregated,79.900000,0.000000,1100,1800,2600,3200,4900,6200,7900,8900,11000,11000,11000,1046,0,1100.0,1871.9555114721845,10.66010000067763,10800.932199985255,70.0
1776196427,300,,Aggregated,78.800000,0.000000,1100,1900,2700,3300,5100,6500,8400,10000,12000,12000,12000,1146,0,1100.0,1955.5970717275188,10.66010000067763,12375.785300013376,70.0
1776196428,300,,Aggregated,79.700000,0.000000,1100,2000,2800,3400,5300,7000,8900,10000,12000,12000,12000,1218,0,1100.0,2037.1921066500768,10.66010000067763,12375.785300013376,70.0
1776196429,300,,Aggregated,81.000000,0.000000,1200,2100,2800,3400,5300,7400,9400,11000,12000,13000,13000,1305,0,1200.0,2093.3682308044786,10.66010000067763,13317.871199978981,70.0
1776196430,300,,Aggregated,82.500000,0.000000,1200,2100,2800,3400,5300,7400,9400,11000,12000,13000,13000,1400,0,1200.0,2090.8115553570287,10.66010000067763,13317.871199978981,70.0
1776196431,300,,Aggregated,85.400000,0.000000,1200,2200,2900,3500,5400,7600,10000,11000,14000,16000,16000,1470,0,1200.0,2146.8348087072563,10.66010000067763,15938.412099989364,70.0
1776196432,300,,Aggregated,82.500000,0.000000,1300,2200,2900,3500,5500,7700,10000,11000,15000,16000,16000,1562,0,1200.0,2192.015435275147,10.66010000067763,15938.412099989364,70.0
1776196433,300,,Aggregated,82.300000,0.000000,1200,2200,2900,3600,5600,7900,11000,12000,15000,16000,16000,1645,0,1200.0,2217.091306686664,10.66010000067763,15938.412099989364,70.0
1776196434,300,,Aggregated,83.200000,0.000000,1300,2200,3000,3600,5700,8100,11000,12000,16000,17000,17000,1732,0,1300.0,2271.8380689373644,10.66010000067763,17172.633299982408,70.0
1776196435,300,,Aggregated,85.400000,0.000000,1300,2200,3000,3600,5800,8200,11000,13000,17000,17000,17000,1839,0,1300.0,2302.1958263185734,10.66010000067763,17458.21579999756,70.0
1776196436,300,,Aggregated,85.200000,0.000000,1300,2200,3000,3600,5800,8200,11000,13000,17000,17000,17000,1944,0,1300.0,2300.4256645061996,10.66010000067763,17458.21579999756,70.0
1776196437,300,,Aggregated,85.700000,0.000000,1300,2200,3000,3700,5800,8300,11000,13000,17000,17000,17000,2033,0,1300.0,2320.219251795383,10.66010000067763,17458.21579999756,70.0
1776196438,300,,Aggregated,87.700000,0.000000,1300,2200,3000,3700,5800,8300,11000,13000,17000,17000,17000,2154,0,1300.0,2318.7130242804465,10.66010000067763,17458.21579999756,70.0
1776196439,300,,Aggregated,90.400000,0.000000,1200,2200,3000,3600,5700,8200,11000,13000,17000,20000,20000,2264,0,1200.0,2287.2659030478662,10.66010000067763,19919.723500002874,70.0
1776196440,300,,Aggregated,91.600000,0.000000,1200,2200,3000,3600,5700,8200,11000,13000,20000,22000,22000,2356,0,1200.0,2289.181095925492,10.66010000067763,22159.0326000005,70.0
1776196441,300,,Aggregated,92.600000,0.000000,1200,2200,2900,3600,5800,8400,12000,14000,20000,22000,22000,2455,0,1200.0,2297.3838724237544,10.66010000067763,22159.0326000005,70.0
1776196442,300,,Aggregated,96.100000,0.000000,1200,2100,2900,3600,5800,8400,12000,14000,20000,25000,25000,2528,0,1200.0,2300.4243821203722,10.66010000067763,25254.49029999436,70.0
1776196443,300,,Aggregated,97.200000,0.000000,1200,2100,2900,3600,5800,8400,12000,14000,21000,25000,25000,2622,0,1200.0,2305.1557558353265,10.66010000067763,25254.49029999436,70.0
1776196444,300,,Aggregated,96.700000,0.000000,1200,2100,3000,3600,5900,8600,12000,14000,22000,25000,25000,2723,0,1200.0,2335.8070827030006,8.414400013862178,25254.49029999436,70.0
1776196445,300,,Aggregated,98.500000,0.000000,1200,2200,3000,3600,6000,8800,12000,15000,26000,28000,28000,2827,0,1200.0,2377.789986416815,8.414400013862178,28320.260499982396,70.0
1776196446,300,,Aggregated,97.700000,0.000000,1200,2200,3000,3600,6000,8900,13000,16000,28000,29000,29000,2928,0,1200.0,2399.800785041169,8.414400013862178,28956.527799979085,70.0
1776196447,300,,Aggregated,97.100000,0.000000,1200,2200,3000,3600,6000,8800,12000,16000,27000,29000,29000,3024,0,1200.0,2395.18297622372,8.414400013862178,28956.527799979085,70.0
1776196448,300,,Aggregated,100.700000,0.000000,1200,2100,2900,3600,6000,8800,12000,16000,27000,29000,29000,3153,0,1200.0,2380.926046463857,8.414400013862178,28956.527799979085,70.0
1776196449,300,,Aggregated,98.000000,0.000000,1200,2100,2900,3600,5900,8600,12000,16000,27000,29000,29000,3210,0,1200.0,2361.9865776948554,8.414400013862178,28956.527799979085,70.0
