Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1776196350,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776196351,20,,Aggregated,0.000000,0.000000,190,230,300,310,330,390,600,630,630,630,630,52,0,190.0,191.02234615386877,17.57939998060465,634.4747999974061,70.0
1776196352,40,,Aggregated,0.000000,0.000000,180,240,300,330,460,630,820,820,840,840,840,135,0,180.0,218.8852851852533,10.533599997870624,841.3390000059735,70.0
1776196353,60,,Aggregated,27.000000,0.000000,220,330,440,500,680,820,1300,1300,1600,1600,1600,205,0,220.0,310.8985780489847,10.533599997870624,1583.0395999946631,70.0
1776196354,100,,Aggregated,52.000000,0.000000,270,410,530,620,820,1300,1600,1800,1900,1900,1900,307,0,270.0,386.70465048883756,10.533599997870624,1897.004400001606,70.0
1776196355,100,,Aggregated,57.666667,0.000000,310,500,640,710,1100,1400,1800,1900,2900,2900,2900,370,0,300.0,460.04426756730567,10.533599997870624,2897.969000012381,70.0
1776196356,100,,Aggregated,65.000000,0.000000,360,580,710,850,1300,1800,2100,2600,3300,3300,3300,459,0,360.0,548.2930904135746,10.533599997870624,3315.0693000061437,70.0
1776196357,100,,Aggregated,65.000000,0.000000,380,610,780,920,1400,1800,2400,2600,4400,4400,4400,539,0,380.0,573.3381320962359,10.533599997870624,4403.126499993959,70.0
1776196358,100,,Aggregated,69.000000,0.000000,380,630,820,950,1600,1900,2600,3100,5100,5100,5100,617,0,380.0,610.209302917199,10.533599997870624,5094.153399986681,70.0
1776196359,100,,Aggregated,69.285714,0.000000,380,640,850,1000,1700,2000,2800,3300,5100,5100,5100,715,0,380.0,639.4359332867947,10.130699985893443,5094.153399986681,70.0
1776196360,100,,Aggregated,72.625000,0.000000,380,660,870,1000,1700,2000,2800,3700,5500,5500,5500,802,0,380.0,649.5974824189088,10.130699985893443,5535.871199972462,70.0
1776196361,100,,Aggregated,73.111111,0.000000,380,650,890,1100,1800,2300,4000,5400,7000,7000,7000,883,0,380.0,708.8581301246008,10.130699985893443,7044.181699980982,70.0
1776196362,100,,Aggregated,74.200000,0.000000,390,680,920,1100,1800,2500,4400,5900,7000,7000,7000,953,0,390.0,741.7183618048357,10.130699985893443,7044.181699980982,70.0
1776196363,100,,Aggregated,82.300000,0.000000,410,700,960,1200,1900,2700,5100,5900,7000,8200,8200,1033,0,410.0,783.4290097772614,10.130699985893443,8183.702300011646,70.0
1776196364,100,,Aggregated,81.800000,0.000000,410,710,970,1200,1900,2700,4700,5900,8200,10000,10000,1117,0,410.0,790.3293413608255,10.130699985893443,9989.740999997593,70.0
1776196365,100,,Aggregated,82.000000,0.000000,420,720,980,1200,1900,2800,5100,6000,10000,11000,11000,1204,0,410.0,820.320348255723,10.130699985893443,10528.206699993461,70.0
1776196366,100,,Aggregated,80.800000,0.000000,410,720,980,1200,2000,3100,5400,6200,10000,11000,11000,1276,0,410.0,831.4653144198732,10.130699985893443,10528.206699993461,70.0
1776196367,100,,Aggregated,82.000000,0.000000,420,730,1000,1300,2000,3100,5200,6200,10000,11000,11000,1361,0,420.0,846.3926379131184,10.130699985893443,10528.206699993461,70.0
1776196368,100,,Aggregated,82.900000,0.000000,430,730,1000,1300,2000,3200,5400,6300,10000,11000,11000,1433,0,430.0,857.1679512908408,10.130699985893443,10528.206699993461,70.0
1776196369,100,,Aggregated,82.700000,0.000000,430,730,1000,1300,2000,3200,5400,6300,10000,11000,11000,1526,0,430.0,857.4318541938414,10.130699985893443,10528.206699993461,70.0
1776196370,100,,Aggregated,82.100000,0.000000,420,730,1000,1300,2100,3200,5500,6600,15000,15000,15000,1615,0,420.0,878.6948445199012,10.130699985893443,15233.81249999511,70.0
1776196371,100,,Aggregated,80.900000,0.000000,410,720,1000,1200,2000,3100,5400,6600,15000,15000,15000,1707,0,410.0,856.255417691693,10.130699985893443,15233.81249999511,70.0
1776196372,100,,Aggregated,81.800000,0.000000,410,720,990,1200,2000,3100,5400,6600,15000,17000,17000,1794,0,410.0,865.9025241915836,10.130699985893443,16908.878699992783,70.0
