Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1776198066,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776198067,20,,Aggregated,0.000000,0.000000,91,130,150,170,210,240,370,380,380,380,380,82,0,89,108.31957560944053,10.757000010926276,384.0007999970112,70.0
1776198068,60,,Aggregated,0.000000,0.000000,120,160,210,240,350,480,590,690,700,700,700,176,0,120.0,154.45820795453486,10.757000010926276,703.5165999841411,70.0
1776198069,80,,Aggregated,34.000000,0.000000,150,240,350,410,670,940,1200,1400,1600,1600,1600,256,0,140.0,264.053293359666,10.757000010926276,1614.39380000229,70.0
1776198070,100,,Aggregated,61.000000,0.000000,180,290,390,480,720,1100,1500,1600,2100,2100,2100,343,0,180.0,303.0791725945026,10.757000010926276,2080.057000013767,70.0
1776198071,100,,Aggregated,61.666667,0.000000,220,380,520,620,1000,1300,1600,2100,3400,3400,3400,455,0,220.0,388.96673999990304,10.757000010926276,3422.0572000194807,70.0
1776198072,100,,Aggregated,74.500000,0.000000,240,410,570,680,1100,1500,2100,2500,3800,3800,3800,517,0,240.0,432.5028280462985,10.757000010926276,3844.1369999782182,70.0
1776198073,100,,Aggregated,75.800000,0.000000,250,470,620,810,1300,1800,2600,3200,3800,3800,3800,629,0,250.0,510.61023831506674,10.757000010926276,3844.1369999782182,70.0
1776198074,100,,Aggregated,81.000000,0.000000,270,510,690,870,1400,2000,2700,3200,3800,3800,3800,708,0,270.0,540.0977105936194,10.757000010926276,3844.1369999782182,70.0
1776198075,100,,Aggregated,80.000000,0.000000,270,510,690,880,1500,2100,2900,3400,4700,4700,4700,787,0,270.0,556.5859238885084,10.757000010926276,4726.730800000951,70.0
1776198076,100,,Aggregated,79.500000,0.000000,290,540,750,950,1600,2400,3200,3800,5300,5300,5300,902,0,290.0,605.2124895789906,10.757000010926276,5291.185400012182,70.0
1776198077,100,,Aggregated,83.666667,0.000000,310,550,780,990,1600,2500,3300,4200,6000,6000,6000,974,0,310.0,624.5716044150574,10.757000010926276,5969.925100012915,70.0
1776198078,100,,Aggregated,82.400000,0.000000,320,560,810,1000,1600,2500,3400,4600,7300,7300,7300,1067,0,320.0,657.3356587631855,10.757000010926276,7327.777900005458,70.0
1776198079,100,,Aggregated,88.700000,0.000000,330,570,790,1000,1600,2500,3400,4300,7300,7300,7300,1164,0,330.0,649.346341151707,10.000300011597574,7327.777900005458,70.0
1776198080,100,,Aggregated,88.900000,0.000000,340,560,780,980,1600,2500,3400,4600,7300,7300,7300,1237,0,340.0,648.703329668948,10.000300011597574,7327.777900005458,70.0
1776198081,100,,Aggregated,91.800000,0.000000,350,570,790,1000,1600,2500,3700,5000,7800,11000,11000,1346,0,350.0,675.2871434623929,10.000300011597574,11468.107099994086,70.0
1776198082,100,,Aggregated,90.700000,0.000000,350,580,810,1000,1600,2500,3800,5300,7800,11000,11000,1412,0,350.0,687.5552934847029,10.000300011597574,11468.107099994086,70.0
1776198083,100,,Aggregated,89.700000,0.000000,350,580,820,1000,1600,2600,4400,5800,7800,11000,11000,1496,0,350.0,706.0862681821825,10.000300011597574,11468.107099994086,70.0
1776198084,100,,Aggregated,88.000000,0.000000,360,600,860,1100,1700,2700,4600,6100,11000,11000,11000,1594,0,360.0,730.2895051446832,10.000300011597574,11468.107099994086,70.0
1776198085,100,,Aggregated,89.200000,0.000000,370,610,880,1100,1700,2800,5400,6600,11000,15000,15000,1685,0,370.0,768.2434582793311,7.123399991542101,15024.10169999348,70.0
1776198086,100,,Aggregated,89.800000,0.000000,360,610,880,1100,1800,2800,5400,6700,15000,17000,17000,1778,0,360.0,774.9333564682697,7.123399991542101,17146.270600002026,70.0
1776198087,100,,Aggregated,87.500000,0.000000,360,620,880,1100,1800,2800,5300,6700,16000,17000,17000,1892,0,360.0,781.4008228332343,7.123399991542101,17146.270600002026,70.0
1776198088,100,,Aggregated,89.700000,0.000000,360,620,870,1100,1800,2800,5300,6700,16000,17000,17000,1979,0,360.0,780.4656634667102,7.123399991542101,17146.270600002026,70.0
1776198089,100,,Aggregated,88.700000,0.000000,360,620,880,1100,1800,2900,5300,6600,15000,17000,17000,2057,0,360.0,778.782086971585,7.123399991542101,17146.270600002026,70.0
1776198090,100,,Aggregated,90.700000,0.000000,370,630,890,1100,1800,2900,5500,6700,17000,19000,19000,2140,0,370.0,803.4673485516246,7.123399991542101,19289.466699992772,70.0
1776198091,100,,Aggregated,91.200000,0.000000,360,620,880,1100,1800,2900,5500,6700,17000,19000,19000,2221,0,360.0,800.2021069339688,7.123399991542101,19289.466699992772,70.0
1776198092,100,,Aggregated,86.400000,0.000000,360,620,870,1100,1800,3000,5500,6700,17000,19000,19000,2325,0,360.0,804.0379470969194,7.123399991542101,19289.466699992772,70.0
1776198093,100,,Aggregated,89.700000,0.000000,360,620,880,1100,1800,3100,5600,7200,17000,19000,19000,2413,0,360.0,813.1646303358157,7.123399991542101,19289.466699992772,70.0
1776198094,100,,Aggregated,89.000000,0.000000,360,620,880,1100,1900,3200,5900,7300,19000,25000,25000,2498,0,360.0,838.0550900321448,7.123399991542101,25020.149899995886,70.0
1776198095,100,,Aggregated,89.300000,0.000000,370,620,880,1100,1900,3300,5900,7200,19000,25000,25000,2609,0,370.0,840.7405471063038,7.123399991542101,25020.149899995886,70.0
1776198096,100,,Aggregated,91.200000,0.000000,370,630,890,1100,1900,3200,5800,7200,19000,25000,25000,2675,0,370.0,840.1309536823745,7.123399991542101,25020.149899995886,70.0
1776198097,100,,Aggregated,90.400000,0.000000,370,630,890,1100,1900,3200,5800,7100,19000,25000,25000,2770,0,370.0,836.4233646210569,7.123399991542101,25020.149899995886,70.0
1776198098,100,,Aggregated,90.400000,0.000000,370,630,890,1100,1900,3200,5800,7200,21000,28000,28000,2876,0,370.0,849.4939271211139,7.123399991542101,28355.834599991795,70.0
1776198099,100,,Aggregated,89.800000,0.000000,370,630,890,1100,1900,3300,6000,7300,21000,28000,28000,2970,0,370.0,863.8189245456086,7.123399991542101,28355.834599991795,70.0
1776198100,100,,Aggregated,87.300000,0.000000,370,630,890,1100,1900,3300,6100,7500,21000,28000,28000,3068,0,370.0,870.373154074442,7.123399991542101,28355.834599991795,70.0
1776198101,100,,Aggregated,89.200000,0.000000,370,630,900,1100,2000,3400,6200,7500,21000,28000,28000,3160,0,370.0,877.0256047469402,7.123399991542101,28355.834599991795,70.0
1776198102,100,,Aggregated,92.900000,0.000000,370,630,900,1100,2000,3400,6200,7300,21000,28000,28000,3218,0,370.0,876.8318088875822,7.123399991542101,28355.834599991795,70.0
1776198103,100,,Aggregated,89.900000,0.000000,370,640,910,1100,2000,3400,6200,7300,21000,28000,28000,3317,0,370.0,882.4804390715245,7.123399991542101,28355.834599991795,70.0
1776198104,100,,Aggregated,93.200000,0.000000,370,640,920,1200,2000,3500,6200,7500,21000,28000,28000,3374,0,370.0,887.8856263782986,7.123399991542101,28355.834599991795,70.0
1776198105,100,,Aggregated,89.600000,0.000000,380,660,920,1200,2100,3600,6200,7600,21000,28000,28000,3473,0,380.0,901.1608043191576,7.123399991542101,28355.834599991795,70.0
1776198106,100,,Aggregated,89.600000,0.000000,380,670,940,1200,2100,3600,6400,7800,21000,28000,28000,3537,0,380.0,916.1180950241638,7.123399991542101,28355.834599991795,70.0
1776198107,100,,Aggregated,86.600000,0.000000,390,680,960,1200,2100,3700,6300,7700,21000,28000,28000,3637,0,390.0,923.2225376410332,7.123399991542101,28355.834599991795,70.0
1776198108,100,,Aggregated,86.000000,0.000000,390,690,970,1200,2100,3700,6300,7600,21000,28000,28000,3708,0,390.0,923.9439596818785,7.123399991542101,28355.834599991795,70.0
1776198109,100,,Aggregated,85.000000,0.000000,390,690,980,1200,2100,3700,6300,7800,21000,28000,28000,3781,0,390.0,930.4632589527552,7.123399991542101,28355.834599991795,70.0
